adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000032604-25-000012	32604	EMERSON ELECTRIC CO	3600	US	MO	ST LOUIS	63136	8000 W FLORISSANT AVE	P O BOX 4100	3145532000	US	MO	ST LOUIS	63136	8000 W. FLORISSANT	P.O. BOX 4100	US	MO	430259330	EMERSON ELECTRIC MANUFACTUING CO	19730710	1-LAF	0	0930	10-Q	20241231	2025	Q1	20250205	2025-02-05 06:55:00.0	0	1	emr-20241231_htm.xml	1	
0000033185-25-000025	33185	EQUIFAX INC	7320	US	GA	ATLANTA	30302	1550 PEACHTREE ST NW		4048858000	US	GA	ATLANTA	30309	1550 PEACHTREE ST NW		US	GA	580401110	RETAIL CREDIT CO	19760222	1-LAF	1	1231	10-K	20241231	2024	FY	20250220	2025-02-20 16:26:00.0	0	1	efx-20241231_htm.xml	1	
0000033213-25-000011	33213	EQT CORP	1311	US	PA	PITTSBURGH	15222	625 LIBERTY AVENUE	SUITE 1700	4125535700	US	PA	PITTSBURGH	15222	625 LIBERTY AVENUE	SUITE 1700	US	PA	250464690	EQT CORP /PA/	20090206	1-LAF	1	1231	10-K	20241231	2024	FY	20250219	2025-02-19 16:16:00.0	0	1	eqt-20241231_htm.xml	1	
0000033992-25-000007	33992	KINGSTONE COMPANIES, INC.	6331	US	NY	KINGSTON	12401	15 JOYS LANE		516 374-7600	US	NY	KINGSTON	12401	15 JOYS LANE		US	DE	362476480	DCAP GROUP INC	20050210	4-NON	0	1231	10-K	20241231	2024	FY	20250318	2025-03-18 17:11:00.0	0	1	kins-20241231_htm.xml	1	
0000034067-25-000028	34067	DMC GLOBAL INC.	3390	US	CO	BROOMFIELD	80021	11800 RIDGE PARKWAY	SUITE 300	3036655700	US	CO	BROOMFIELD	80021	11800 RIDGE PARKWAY	SUITE 300	US	CO	840608431	DYNAMIC MATERIALS CORP	19941205	2-ACC	0	1231	10-K	20241231	2024	FY	20250224	2025-02-24 16:26:00.0	0	1	boom-20241231_htm.xml	1	
0000034088-25-000010	34088	EXXON MOBIL CORP	2911	US	TX	SPRING	77389-1425	22777 SPRINGWOODS VILLAGE PARKWAY		9729406000	US	TX	SPRING	77389-1425	22777 SPRINGWOODS VILLAGE PARKWAY		US	NJ	135409005	EXXON CORP	19920703	1-LAF	1	1231	10-K	20241231	2024	FY	20250219	2025-02-19 16:40:00.0	0	1	xom-20241231_htm.xml	1	
0000034563-25-000018	34563	FARMER BROTHERS CO	2090	US	TX	FORT WORTH	76177	14501 N. FREEWAY		888 998 2468	US	TX	FORT WORTH	76177	P O BOX 77057		US	DE	950725980			4-NON	0	0630	10-Q	20241231	2025	Q2	20250206	2025-02-06 17:04:00.0	0	1	farm-20241231_htm.xml	1	
0000041719-25-000016	41719	MAGNERA CORP	2621	US	NC	CHARLOTTE	28269	9335 HARRIS CORNERS PKWY	SUITE 300	866-744-7380	US	NC	CHARLOTTE	28269	9335 HARRIS CORNERS PKWY	SUITE 300	US	PA	230628360	GLATFELTER CORP	20200930	2-ACC	0	0930	10-Q	20241231	2025	Q1	20250206	2025-02-06 16:58:00.0	0	1	magn-20241228_htm.xml	1	
0000042888-25-000011	42888	GRACO INC	3561	US	MN	MINNEAPOLIS	55413-1894	88 11TH AVENUE NE		6126236000	US	MN	MINNEAPOLIS	55401	CT CORPORATION SYSTEM, INC.	100 SOUTH FIFTH STREET, SUITE 1075	US	MN	410285640			1-LAF	1	1231	10-K	20241231	2024	FY	20250218	2025-02-18 14:08:00.0	0	1	ggg-20241227_htm.xml	1	
0000002488-25-000012	2488	ADVANCED MICRO DEVICES INC	3674	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		(408) 749-4000	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		US	DE	941692300			1-LAF	1	1231	10-K	20241231	2024	FY	20250205	2025-02-05 16:43:00.0	0	1	amd-20241228_htm.xml	1	
0000002969-25-000013	2969	AIR PRODUCTS & CHEMICALS, INC.	2810	US	PA	ALLENTOWN	18106-5500	1940 AIR PRODUCTS BLVD.		6104814911	US	PA	ALLENTOWN	18106-5500	1940 AIR PRODUCTS BLVD.		US	DE	231274455	AIR PRODUCTS & CHEMICALS, INC.	20220408	1-LAF	0	0930	10-Q	20241231	2025	Q1	20250206	2025-02-06 12:04:00.0	0	1	apd-20241231_htm.xml	1	
0000003499-25-000004	3499	ALEXANDERS INC	6798	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		201-587-8541	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		US	DE	510100517			2-ACC	0	1231	10-K	20241231	2024	FY	20250210	2025-02-10 08:32:00.0	0	1	alx-20241231_htm.xml	1	
0000003545-25-000030	3545	ALICO, INC.	0100	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		239-226-2000	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		US	FL	590906081	ALICO INC	19920703	4-NON	0	0930	10-Q	20241231	2025	Q1	20250212	2025-02-12 16:09:00.0	0	1	alco-20241231_htm.xml	1	
0000003570-25-000033	3570	CHENIERE ENERGY INC	4924	US	TX	HOUSTON	77002	845 TEXAS AVENUE	SUITE 1250	7133755000	US	TX	HOUSTON	77002	845 TEXAS AVENUE	SUITE 1250	US	DE	954352386	CHENIERE ENERGY INC	19960827	1-LAF	1	1231	10-K	20241231	2024	FY	20250220	2025-02-19 17:43:00.0	0	1	lng-20241231_htm.xml	1	
0000004127-25-000010	4127	SKYWORKS SOLUTIONS INC	3674	US	CA	IRVINE	92617	5260 CALIFORNIA AVENUE		9492313000	US	CA	IRVINE	92617	5260 CALIFORNIA AVENUE		US	DE	042302115	SKYWORKS SOLUTIONS INC	20020627	1-LAF	0	0930	10-Q	20241231	2025	Q1	20250205	2025-02-05 16:33:00.0	0	1	swks-20241227_htm.xml	1	
0000004281-25-000011	4281	HOWMET AEROSPACE INC.	3350	US	PA	PITTSBURGH	15212-5872	201 ISABELLA STREET	SUITE 200	(412) 553-1940	US	PA	PITTSBURGH	15212-5872	201 ISABELLA STREET		US	DE	250317820	ARCONIC INC.	20161101	1-LAF	1	1231	10-K	20241231	2024	FY	20250214	2025-02-13 17:35:00.0	0	1	hwm-20241231_htm.xml	1	
0000023197-25-000009	23197	COMTECH TELECOMMUNICATIONS CORP /DE/	3663	US	AZ	CHANDLER	85226	305 N 54TH STREET		4803332200	US	AZ	CHANDLER	85226	305 N 54TH STREET		US	DE	112139466	COMTECH INC	19870503	2-ACC	0	0731	10-Q	20241031	2025	Q1	20250113	2025-01-13 07:41:00.0	0	1	cmtl-20241031_htm.xml	1	
0000023197-25-000039	23197	COMTECH TELECOMMUNICATIONS CORP /DE/	3663	US	AZ	CHANDLER	85226	305 N 54TH STREET		4803332200	US	AZ	CHANDLER	85226	305 N 54TH STREET		US	DE	112139466	COMTECH INC	19870503	2-ACC	0	0731	10-Q	20250131	2025	Q2	20250312	2025-03-12 16:22:00.0	0	1	cmtl-20250131_htm.xml	1	
0000024090-25-000018	24090	CITIZENS, INC.	6311	US	TX	AUSTIN	78758	11815 ALTERRA PKWY	SUITE 1500	5128377100	US	TX	AUSTIN	78714	P O BOX 149151		US	CO	840755371	CITIZENS INC	19920703	2-ACC	0	1231	10-K	20241231	2024	FY	20250313	2025-03-13 16:14:00.0	0	1	cia-20241231_htm.xml	1	
0000024545-25-000007	24545	MOLSON COORS BEVERAGE CO	2082	US	CO	GOLDEN	80401	P.O. BOX 4030	BC555	303-279-6565	US	CO	GOLDEN	80401	P.O. BOX 4030	BC555	US	DE	840178360	MOLSON COORS BREWING CO	20050208	1-LAF	1	1231	10-K	20241231	2024	FY	20250218	2025-02-18 16:36:00.0	0	1	tap-20241231_htm.xml	1	
0000025232-25-000012	25232	COUSINS PROPERTIES INC	6798	US	GA	ATLANTA	30326	3344 PEACHTREE ROAD, NE	SUITE 1800	404-407-1000	US	GA	ATLANTA	30326	3344 PEACHTREE ROAD, NE	SUITE 1800	US	GA	580869052			1-LAF	1	1231	10-K	20241231	2024	FY	20250206	2025-02-06 16:22:00.0	0	1	cuz-20241231_htm.xml	1	
0000039911-25-000029	39911	GAP INC	5651	US	CA	SAN FRANCISCO	94105	TWO FOLSOM STREET		4154270100	US	CA	SAN FRANCISCO	94105	TWO FOLSOM STREET		US	DE	941697231	GAP STORES INC	19850617	1-LAF	1	0131	10-K	20250131	2024	FY	20250318	2025-03-18 13:40:00.0	0	1	gap-20250201_htm.xml	1	
0000040211-25-000024	40211	GATX CORP	4700	US	IL	CHICAGO	60606-7147	233 SOUTH WACKER DRIVE		3126216200	US	IL	CHICAGO	60606-7147	233 SOUTH WACKER DRIVE		US	NY	361124040	GENERAL AMERICAN TRANSPORTATION CORP	19750722	1-LAF	1	1231	10-K	20241231	2024	FY	20250219	2025-02-19 16:20:00.0	0	1	gmt-20241231_htm.xml	1	
0000040533-25-000008	40533	GENERAL DYNAMICS CORP	3730	US	VA	RESTON	20190	11011 SUNSET HILLS RD		703-876-3000	US	VA	RESTON	20190	11011 SUNSET HILLS RD		US	DE	131673581			1-LAF	1	1231	10-K	20241231	2024	FY	20250207	2025-02-07 15:26:00.0	0	1	gd-20241231_htm.xml	1	
0000040545-25-000015	40545	GENERAL ELECTRIC CO	3600	US	OH	EVENDALE	45215	1 NEUMANN WAY		617-443-3000	US	OH	EVENDALE	45215	1 NEUMANN WAY		US	NY	140689340	GENERAL ELECTRIC CO	20240408	1-LAF	1	1231	10-K	20241231	2024	FY	20250203	2025-02-03 06:31:00.0	0	1	ge-20241231_htm.xml	1	
0000040729-25-000006	40729	ALLY FINANCIAL INC.	6022	US	MI	DETROIT	48226	ALLY DETROIT CENTER	500 WOODWARD AVE. FLOOR 10	866-710-4623	US	MI	DETROIT	48226	ALLY DETROIT CENTER	500 WOODWARD AVE. FLOOR 10	US	DE	380572512	GMAC INC.	20090701	1-LAF	1	1231	10-K	20241231	2024	FY	20250219	2025-02-19 16:11:00.0	0	1	ally-20241231_htm.xml	1	
0000040987-25-000026	40987	GENUINE PARTS CO	5013	US	GA	ATLANTA	30339	2999 WILDWOOD PARKWAY		6789345000	US	GA	ATLANTA	30339	2999 WILDWOOD PARKWAY		US	GA	580254510			1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 11:44:00.0	0	1	gpc-20241231_htm.xml	1	
0000056701-25-000008	56701	KOSS CORP	3651	US	WI	MILWAUKEE	53212	4129 N PORT WASHINGTON AVE		4149645000	US	WI	MILWAUKEE	53212	4129 N PORT WASHINGTON AVE		US	DE	391168275	KOSS ELECTRONICS INC	19721005	4-NON	0	0630	10-Q	20241231	2025	Q2	20250131	2025-01-30 18:06:00.0	0	1	koss-20241231x10q_htm.xml	1	
0000018349-25-000049	18349	SYNOVUS FINANCIAL CORP	6021	US	GA	COLUMBUS	31901	33 W 14TH STREET		7066416500	US	GA	COLUMBUS	31901	33 W 14TH STREET		US		581134883	CB&T BANCSHARES INC	19890912	1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 11:22:00.0	0	1	syn-20241231_htm.xml	1	
0000018926-25-000010	18926	LUMEN TECHNOLOGIES, INC.	4813	US	LA	MONROE	71203	P O BOX 4065	100 CENTURYLINK DR	3183889000	US	LA	MONROE	71203	100 CENTURYLINK DR	P O BOX 4065	US	LA	720651161	CENTURYLINK, INC	20101108	1-LAF	1	1231	10-K	20241231	2024	FY	20250220	2025-02-20 16:17:00.0	0	1	lumn-20241231_htm.xml	1	
0000019617-25-000270	19617	JPMORGAN CHASE & CO	6021	US	NY	NEW YORK	10017	383 MADISON AVENUE		2122706000	US	NY	NEW YORK	10017	383 MADISON AVENUE		US	DE	132624428	J P MORGAN CHASE & CO	20010102	1-LAF	0	1231	10-K	20241231	2024	FY	20250214	2025-02-14 16:17:00.0	0	1	jpm-20241231_htm.xml	1	
0000046250-25-000004	46250	HAWKINS INC	5160	US	MN	ROSEVILLE	55113	2381 ROSEGATE		6123316910	US	MN	ROSVILLE	55113	2381 ROSEGATE		US	MN	410771293	HAWKINS CHEMICAL INC	19920703	1-LAF	0	0331	10-Q	20241231	2025	Q3	20250129	2025-01-29 16:16:00.0	0	1	hwkn-20241229_htm.xml	1	
0000046619-25-000015	46619	HEICO CORP	3724	US	FL	HOLLYWOOD	33021	3000 TAFT ST		954-987-4000	US	FL	HOLLYWOOD	33021	3000 TAFT STREET		US	FL	650341002	HEINICKE INSTRUMENTS CO	19860417	1-LAF	0	1031	10-Q	20250131	2025	Q1	20250228	2025-02-28 16:37:00.0	0	1	hei-20250131_htm.xml	1	
0000046765-25-000008	46765	HELMERICH & PAYNE, INC.	1381	US	OK	TULSA	74120	222 N. DETROIT AVE.		9187425531	US	OK	TULSA	74120	222 N. DETROIT AVE.		US	DE	730679879	HELMERICH & PAYNE INC	19920703	1-LAF	0	0930	10-Q	20241231	2025	Q1	20250205	2025-02-05 16:55:00.0	0	1	hp-20241231_htm.xml	1	
0000047111-25-000014	47111	HERSHEY CO	2060	US	PA	HERSHEY	17033	19 EAST CHOCOLATE AVENUE	EXTERNAL RPTG & COMPLIANCE	7175344200	US	PA	HERSHEY	17033	19 EAST CHOCOLATE AVENUE	EXTERNAL RPTG & COMPLIANCE	US	DE	230691590	HERSHEY FOODS CORP	19920703	1-LAF	1	1231	10-K	20241231	2024	FY	20250218	2025-02-18 10:56:00.0	0	1	hsy-20241231_htm.xml	1	
0000047217-25-000025	47217	HP INC	3570	US	CA	PALO ALTO	94304	1501 PAGE MILL ROAD		6508571501	US	CA	PALO ALTO	94304	1501 PAGE MILL ROAD		US	DE	941081436	HEWLETT PACKARD CO	19920703	1-LAF	0	1031	10-Q	20250131	2025	Q1	20250228	2025-02-27 18:38:00.0	0	1	hpq-20250131_htm.xml	1	
0000052988-25-000016	52988	JACOBS SOLUTIONS INC.	1600	US	TX	DALLAS	75201	1999 BRYAN STREET, SUITE 3500		214-583-8500	US	TX	DALLAS	75201	1999 BRYAN STREET, SUITE 3500		US	DE	954081636	JACOBS ENGINEERING GROUP INC /DE/	19920703	1-LAF	0	0930	10-Q	20241231	2025	Q1	20250204	2025-02-04 06:50:00.0	0	1	jec-20241227_htm.xml	1	
0000055135-25-000007	55135	KELLY SERVICES INC	7363	US	MI	TROY	48084	999 W BIG BEAVER RD		2483624444	US	MI	TROY	48084	999 WEST BIG BEAVER RD		US	DE	381510762			2-ACC	0	1231	10-K	20241231	2024	FY	20250213	2025-02-13 13:51:00.0	0	1	kelya-20241229_htm.xml	1	
0000055242-25-000021	55242	KENNAMETAL INC	3541	US	PA	PITTSBURGH	15219	525 WILLIAM PENN PLACE	SUITE 3300	4122488000	US	PA	PITTSBURGH	15219	525 WILLIAM PENN PLACE	SUITE 3300	US	PA	250900168			1-LAF	0	0630	10-Q	20241231	2025	Q2	20250207	2025-02-07 17:22:00.0	0	1	kmt-20241231_htm.xml	1	
0000055529-25-000013	55529	KEWAUNEE SCIENTIFIC CORP /DE/	3821	US	NC	STATESVILLE	28677	2700 W FRONT ST		7048737202	US	NC	STATESVILLE	28687-1842	P O BOX 1842		US	DE	380715562	KEWAUNEE SCIENTIFIC EQUIPMENT CORP /DE/	19861216	4-NON	0	0430	10-Q	20250131	2025	Q3	20250314	2025-03-14 10:23:00.0	0	1	kequ-20250131_htm.xml	1	
0000055785-25-000013	55785	KIMBERLY CLARK CORP	2670	US	TX	IRVING	75038	351 PHELPS DRIVE		9722811200	US	TX	DALLAS	75261-9100	P O BOX 619100	DFW AIRPORT STATION	US	DE	390394230			1-LAF	1	1231	10-K	20241231	2024	FY	20250213	2025-02-13 14:18:00.0	0	1	kmb-20241231_htm.xml	1	
0000063754-25-000005	63754	MCCORMICK & CO INC	2090	US	MD	HUNT VALLEY	21031	24 SCHILLING ROAD	SUITE 1	4107717301	US	MD	HUNT VALLEY	21031	24 SCHILLING ROAD	SUITE 1	US	MD	520408290	MCCORMICK & CO	19660620	1-LAF	1	1130	10-K	20241130	2024	FY	20250123	2025-01-23 16:37:00.0	0	1	mkc-20241130_htm.xml	1	
0000063754-25-000024	63754	MCCORMICK & CO INC	2090	US	MD	HUNT VALLEY	21031	24 SCHILLING ROAD	SUITE 1	4107717301	US	MD	HUNT VALLEY	21031	24 SCHILLING ROAD	SUITE 1	US	MD	520408290	MCCORMICK & CO	19660620	1-LAF	0	1130	10-Q	20250228	2025	Q1	20250325	2025-03-25 16:50:00.0	0	1	mkc-20250228_htm.xml	1	
0000063908-25-000012	63908	MCDONALDS CORP	5812	US	IL	CHICAGO	60607	110 NORTH CARPENTER STREET		630 623 3000	US	IL	CHICAGO	60607	110 NORTH CARPENTER STREET		US	DE	362361282			1-LAF	1	1231	10-K	20241231	2024	FY	20250225	2025-02-25 13:19:00.0	0	1	mcd-20241231_htm.xml	1	
0000064040-25-000052	64040	S&P GLOBAL INC.	7320	US	NY	NEW YORK	10041	55 WATER STREET		212-438-1000	US	NY	NEW YORK	10041	55 WATER STREET		US	NY	131026995	MCGRAW HILL FINANCIAL INC	20130502	1-LAF	1	1231	10-K	20241231	2024	FY	20250211	2025-02-11 17:29:00.0	0	1	spgi-20241231_htm.xml	1	
0000064803-25-000007	64803	CVS HEALTH CORP	5912	US	RI	WOONSOCKET	02895	ONE CVS DR.		4017651500	US	RI	WOONSOCKET	02895	ONE CVS DR.		US	DE	050494040	CVS CAREMARK CORP	20070509	1-LAF	1	1231	10-K	20241231	2024	FY	20250212	2025-02-12 06:48:00.0	0	1	cvs-20241231_htm.xml	1	
0000064996-25-000013	64996	MERCURY GENERAL CORP	6331	US	CA	LOS ANGELES	90010	4484 WILSHIRE BLVD		2139371060	US	CA	LOS ANGELES	90010	4484 WILSHIRE BLVD		US	CA	952211612			1-LAF	1	1231	10-K	20241231	2024	FY	20250211	2025-02-11 16:08:00.0	0	1	mcy-20241231_htm.xml	1	
0000008947-25-000008	8947	AZZ INC	3470	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	8178100095	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	US	TX	750948250	AZTEC MANUFACTURING CO	20000911	1-LAF	0	0229	10-Q	20241130	2025	Q3	20250107	2025-01-07 16:23:00.0	0	1	azz-20241130_htm.xml	1	
0000010048-25-000009	10048	BARNWELL INDUSTRIES INC	1311	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 500	808-531-8400	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 500	US	DE	720496921	BMA CORP/TN	19770324	4-NON	0	0930	10-Q	20241231	2025	Q1	20250214	2025-02-14 16:06:00.0	0	1	brn-20241231_htm.xml	1	
0000010795-25-000022	10795	BECTON DICKINSON & CO	3841	US	NJ	FRANKLIN LAKES	07417-1880	ONE BECTON DR		2018476800	US	NJ	FRANKLIN LAKE	07417	ONE BECTON DR		US	NJ	220760120			1-LAF	0	0930	10-Q	20241231	2025	Q1	20250206	2025-02-06 17:04:00.0	0	1	bdx-20241231_htm.xml	1	
0000011544-25-000005	11544	BERKLEY W R CORP	6331	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	2036293000	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	US	DE	221867895			1-LAF	1	1231	10-K	20241231	2024	FY	20250224	2025-02-24 16:19:00.0	0	1	wrb-20241231_htm.xml	1	
0000012208-25-000007	12208	BIO-RAD LABORATORIES, INC.	3826	US	CA	HERCULES	94547	1000 ALFRED NOBEL DRIVE		5107247000	US	CA	HERCULES	94547	1000 ALFRED NOBEL DRIVE		US	DE	941381833	BIO RAD LABORATORIES INC	19920703	1-LAF	1	1231	10-K	20241231	2024	FY	20250214	2025-02-14 16:31:00.0	0	1	bio-20241231_htm.xml	1	
0000026172-25-000007	26172	CUMMINS INC	3510	US	IN	COLUMBUS	47202-3005	500 JACKSON ST	BOX 3005 MAIL CODE 93050	8123773842	US	IN	COLUMBUS	47202-3005	BOX 3005 MAIL CODE 93050	500	US	IN	350257090	CUMMINS ENGINE CO INC	19920703	1-LAF	1	1231	10-K	20241231	2024	FY	20250211	2025-02-11 15:58:00.0	0	1	cmi-20241231_htm.xml	1	
0000026324-25-000015	26324	CURTISS WRIGHT CORP	3590	US	NC	DAVIDSON	28036	130 HARBOUR PLACE DRIVE	SUITE 300	7048694600	US	NC	DAVIDSON	28036	130 HARBOUR PLACE DRIVE	SUITE 300	US	DE	130612970			1-LAF	1	1231	10-K	20241231	2024	FY	20250213	2025-02-13 16:01:00.0	0	1	cw-20241231_htm.xml	1	
0000027419-25-000018	27419	TARGET CORP	5331	US	MN	MINNEAPOLIS	55403	1000 NICOLLET MALL		6123046073	US	MN	MINNEAPOLIS	55403	1000 NICOLLET MALL		US	MN	410215170	DAYTON HUDSON CORP	19920703	1-LAF	1	0131	10-K	20250131	2024	FY	20250312	2025-03-12 16:36:00.0	0	1	tgt-20250201_htm.xml	1	
0000027904-25-000004	27904	DELTA AIR LINES, INC.	4512	US	GA	ATLANTA	30354-1989	HARTSFIELD-JACKSON ATLANTA INTL AIRPORT	1030 DELTA BOULEVARD	4047152600	US	GA	ATLANTA	30354	1030 DELTA BLVD.	DEPT 981	US	DE	580218548	DELTA AIR LINES INC /DE/	19920703	1-LAF	1	1231	10-K	20241231	2024	FY	20250211	2025-02-11 17:02:00.0	0	1	dal-20241231_htm.xml	1	
0000027996-25-000051	27996	DELUXE CORP	2780	US	MN	MINNEAPOLIS	55402	801 S. MARQUETTE AVE.		6514837111	US	MN	MINNEAPOLIS	55402	801 S. MARQUETTE AVE.		US	MN	410216800	DELUXE CHECK PRINTERS INC	19880608	1-LAF	1	1231	10-K	20241231	2024	FY	20250221	2025-02-21 10:11:00.0	0	1	dlx-20241231_htm.xml	1	
0000028412-25-000108	28412	COMERICA INC /NEW/	6021	US	TX	DALLAS	75201	1717 MAIN STREET MC6404	ATTN: KELLY GAGE	833-571-0486	US	TX	DALLAS	75201	1717 MAIN STREET MC6404	ATTN: KELLY GAGE	US	DE	000006021	DETROITBANK CORP	19850311	1-LAF	1	1231	10-K	20241231	2024	FY	20250224	2025-02-24 16:29:00.0	0	1	cma-20241231_htm.xml	1	
0000028823-25-000022	28823	DIEBOLD NIXDORF, INC	3578	US	OH	NORTH CANTON	44720	350 ORCHARD AVE NE		3304904000	US	OH	NORTH CANTON	44720	350 ORCHARD AVE NE		US	DE	340183970	DIEBOLD INC	19920703	1-LAF	0	1231	10-K	20241231	2024	FY	20250225	2025-02-25 16:26:00.0	0	1	dbd-20241231_htm.xml	1	
0000050493-25-000005	50493	INGLES MARKETS INC	5411	US	NC	ASHEVILLE	28816	PO BOX 6676		828-669-2941	US	NC	ASHEVILLE	28816	PO BOX 6676		US	NC	560846267			1-LAF	0	0930	10-Q	20241231	2025	Q1	20250206	2025-02-06 16:15:00.0	0	1	imkt-20241228x10q_htm.xml	1	
0000050725-25-000008	50725	GRIFFON CORP	3442	US	NY	NEW YORK	10019	712 FIFTH AVENUE		2129575000	US	NY	NEW YORK	10019	712 FIFTH AVENUE		US	DE	111893410	INSTRUMENT SYSTEMS CORP /DE/	19920703	1-LAF	0	0930	10-Q	20241231	2025	Q1	20250205	2025-02-05 17:05:00.0	0	1	gff-20241231_htm.xml	1	
